Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL
1979.486.1,False,False,False,1,,The American Wing,1979,Coin,One-dollar Liberty Head Coin,,,,,,16429,Maker," ",James Barton Longacre,"American, Delaware County, Pennsylvania 1794–1869 Philadelphia, Pennsylvania"," ","Longacre, James Barton",American,1794      ,1869      ,,http://vocab.getty.edu/page/ulan/500011409,https://www.wikidata.org/wiki/Q3806459,1853,1853,1853,Gold,Dimensions unavailable,"Gift of Heinz L. Stoppelmann, 1979",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/1,,,"Metropolitan Museum of Art, New York, NY",,,
1980.264.5,False,False,False,2,,The American Wing,1980,Coin,Ten-dollar Liberty Head Coin,,,,,,107,Maker," ",Christian Gobrecht,1785–1844," ","Gobrecht, Christian",American,1785      ,1844      ,,http://vocab.getty.edu/page/ulan/500077295,https://www.wikidata.org/wiki/Q5109648,1901,1901,1901,Gold,Dimensions unavailable,"Gift of Heinz L. Stoppelmann, 1980",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/2,,,"Metropolitan Museum of Art, New York, NY",,,
67.265.9,False,False,False,3,,The American Wing,1967,Coin,Two-and-a-Half Dollar Coin,,,,,,,,,,,,,,,,,,,1909–27,1909,1927,Gold,Diam. 11/16 in. (1.7 cm),"Gift of C. Ruxton Love Jr., 1967",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/3,,,"Metropolitan Museum of Art, New York, NY",,,
67.265.10,False,False,False,4,,The American Wing,1967,Coin,Two-and-a-Half Dollar Coin,,,,,,,,,,,,,,,,,,,1909–27,1909,1927,Gold,Diam. 11/16 in. (1.7 cm),"Gift of C. Ruxton Love Jr., 1967",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/4,,,"Metropolitan Museum of Art, New York, NY",,,
67.265.11,False,False,False,5,,The American Wing,1967,Coin,Two-and-a-Half Dollar Coin,,,,,,,,,,,,,,,,,,,1909–27,1909,1927,Gold,Diam. 11/16 in. (1.7 cm),"Gift of C. Ruxton Love Jr., 1967",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/5,,,"Metropolitan Museum of Art, New York, NY",,,
67.265.12,False,False,False,6,,The American Wing,1967,Coin,Two-and-a-Half Dollar Coin,,,,,,,,,,,,,,,,,,,1909–27,1909,1927,Gold,Diam. 11/16 in. (1.7 cm),"Gift of C. Ruxton Love Jr., 1967",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/6,,,"Metropolitan Museum of Art, New York, NY",,,
67.265.13,False,False,False,7,,The American Wing,1967,Coin,Two-and-a-Half Dollar Coin,,,,,,,,,,,,,,,,,,,1909–27,1909,1927,Gold,Diam. 11/16 in. (1.7 cm),"Gift of C. Ruxton Love Jr., 1967",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/7,,,"Metropolitan Museum of Art, New York, NY",Birds|Coins,http://vocab.getty.edu/page/aat/300266506|http://vocab.getty.edu/page/aat/300037222,https://www.wikidata.org/wiki/Q5113|https://www.wikidata.org/wiki/Q41207
67.265.14,False,False,False,8,,The American Wing,1967,Coin,Two-and-a-Half Dollar Coin,,,,,,,,,,,,,,,,,,,1909–27,1909,1927,Gold,Diam. 11/16 in. (1.7 cm),"Gift of C. Ruxton Love Jr., 1967",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/8,,,"Metropolitan Museum of Art, New York, NY",Eagles|Men|Profiles,http://vocab.getty.edu/page/aat/300250049|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300123319,https://www.wikidata.org/wiki/Q2092297|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q4382010
67.265.15,False,False,False,9,,The American Wing,1967,Coin,Two-and-a-Half Dollar Coin,,,,,,,,,,,,,,,,,,,1909–27,1909,1927,Gold,Diam. 11/16 in. (1.7 cm),"Gift of C. Ruxton Love Jr., 1967",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/9,,,"Metropolitan Museum of Art, New York, NY",,,
1979.486.3,False,False,False,10,,The American Wing,1979,Coin,Two-and-a-half-dollar Indian Head Coin,,,,,,108,Maker," ",Bela Lyon Pratt,1867–1917," ","Pratt, Bela Lyon",American,1867      ,1917      ,,http://vocab.getty.edu/page/ulan/500095555,https://www.wikidata.org/wiki/Q4881787,1912,1912,1912,Gold,Dimensions unavailable,"Gift of Heinz L. Stoppelmann, 1979",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/10,,,"Metropolitan Museum of Art, New York, NY",,,
1979.486.2,False,False,False,11,,The American Wing,1979,Coin,Two-and-a-half-dollar Liberty Head Coin,,,,,,107,Maker," ",Christian Gobrecht,1785–1844," ","Gobrecht, Christian",American,1785      ,1844      ,,http://vocab.getty.edu/page/ulan/500077295,https://www.wikidata.org/wiki/Q5109648,1907,1907,1907,Gold,Dimensions unavailable,"Gift of Heinz L. Stoppelmann, 1979",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/11,,,"Metropolitan Museum of Art, New York, NY",,,
1979.486.7,False,False,False,12,,The American Wing,1979,Coin,Twenty-dollar Liberty Head Coin,,,,,,16429,Maker," ",James Barton Longacre,"American, Delaware County, Pennsylvania 1794–1869 Philadelphia, Pennsylvania"," ","Longacre, James Barton",American,1794      ,1869      ,,http://vocab.getty.edu/page/ulan/500011409,https://www.wikidata.org/wiki/Q3806459,1876,1876,1876,Gold,Dimensions unavailable,"Gift of Heinz L. Stoppelmann, 1979",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/12,,,"Metropolitan Museum of Art, New York, NY",,,
